,URL,CarName,ModelName,Maker,Unnamed: 4
99,https://kakaku.com/kuruma/used/maker/%83%5F%83C%83n%83c/%83E%83F%83C%83N/,ダイハツ ウェイク,モデル名不明,ダイハツ(71532),
100,https://kakaku.com/kuruma/used/maker/%83%5F%83C%83n%83c/%83f%83%8B%83%5E/,ダイハツ デルタ,モデル名不明,ダイハツ(71532),
101,https://kakaku.com/kuruma/used/maker/%83%5F%83C%83n%83c/%83g%81%5B%83%8B/,ダイハツ トール,モデル名不明,ダイハツ(71532),
102,https://kakaku.com/kuruma/used/maker/%83%5F%83C%83n%83c/%83g%81%5B%83%8B%83J%83X%83%5E%83%80/,ダイハツ トールカスタム,モデル名不明,ダイハツ(71532),
103,https://kakaku.com/kuruma/used/maker/%83%5F%83C%83n%83c/%83G%83b%83Z/,ダイハツ エッセ,モデル名不明,ダイハツ(71532),
104,https://kakaku.com/kuruma/used/maker/%83%5F%83C%83n%83c/%83I%83v%83e%83B/,ダイハツ オプティ,モデル名不明,ダイハツ(71532),
105,https://kakaku.com/kuruma/used/maker/%83%5F%83C%83n%83c/%83L%83%83%83X%83g%83A%83N%83e%83B%83o/,ダイハツ キャストアクティバ,モデル名不明,ダイハツ(71532),
106,https://kakaku.com/kuruma/used/maker/%83%5F%83C%83n%83c/%83L%83%83%83X%83g%83X%83%5E%83C%83%8B/,ダイハツ キャストスタイル,モデル名不明,ダイハツ(71532),
107,https://kakaku.com/kuruma/used/maker/%83%5F%83C%83n%83c/%83L%83%83%83X%83g%83X%83%7C%81%5B%83c/,ダイハツ キャストスポーツ,モデル名不明,ダイハツ(71532),
108,https://kakaku.com/kuruma/used/maker/%83%5F%83C%83n%83c/%83l%83C%83L%83b%83h/,ダイハツ ネイキッド,モデル名不明,ダイハツ(71532),
109,https://kakaku.com/kuruma/used/maker/%83%5F%83C%83n%83c/%83N%81%5B/,ダイハツ クー,モデル名不明,ダイハツ(71532),
110,https://kakaku.com/kuruma/used/maker/%83%5F%83C%83n%83c/%83n%83C%83%5B%83b%83g%83g%83%89%83b%83N/,ダイハツ ハイゼットトラック,モデル名不明,ダイハツ(71532),
112,https://kakaku.com/kuruma/used/maker/%83%5F%83C%83n%83c/%83n%83C%83%5B%83b%83g%83J%81%5B%83S/,ダイハツ ハイゼットカーゴ,モデル名不明,ダイハツ(71532),
114,https://kakaku.com/kuruma/used/maker/%83%5F%83C%83n%83c/%83n%83C%83%5B%83b%83g%83L%83%83%83f%83B%81%5B/,ダイハツ ハイゼットキャディー,モデル名不明,ダイハツ(71532),
