グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
ランドベンチャー (MT) (242),39〜199万円,158.0,658cc,4,4WD,5MT,14km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=21470/,"ジムニー 1998年モデル
                                        (2374)",ジムニー,1998年モデル,ランドベンチャー (MT),スズキ
ランドベンチャー (472),24〜218万円,169.0,658cc,4,4WD,4AT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=21471/,"ジムニー 1998年モデル
                                        (2374)",ジムニー,1998年モデル,ランドベンチャー,スズキ
ワイルドウインド (MT) (51),33〜130万円,152.0,658cc,4,4WD,5MT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=21472/,"ジムニー 1998年モデル
                                        (2374)",ジムニー,1998年モデル,ワイルドウインド (MT),スズキ
ワイルドウインド (115),29〜212万円,163.0,658cc,4,4WD,4AT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30645/Generation=40971/UCGrade=21473/,"ジムニー 1998年モデル
                                        (2374)",ジムニー,1998年モデル,ワイルドウインド,スズキ
JL (MT) (38),174〜489万円,196.0,1460cc,4,4WD,5MT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=42193/UCGrade=46086/,"ジムニーシエラ 2018年モデル
                                        (880)",ジムニーシエラ,2018年モデル,JL (MT),スズキ
JL (37),184〜359万円,206.0,1460cc,4,4WD,4AT,15km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=42193/UCGrade=46087/,"ジムニーシエラ 2018年モデル
                                        (880)",ジムニーシエラ,2018年モデル,JL,スズキ
JC (MT) (148),167〜490万円,208.0,1460cc,4,4WD,5MT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=42193/UCGrade=46088/,"ジムニーシエラ 2018年モデル
                                        (880)",ジムニーシエラ,2018年モデル,JC (MT),スズキ
JC (636),145〜520万円,218.0,1460cc,4,4WD,4AT,15km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=42193/UCGrade=46089/,"ジムニーシエラ 2018年モデル
                                        (880)",ジムニーシエラ,2018年モデル,JC,スズキ
ベースグレード (MT) (3),90〜128万円,166.0,1328cc,4,4WD,5MT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15239/,"ジムニーシエラ 2002年モデル
                                        (66)",ジムニーシエラ,2002年モデル,ベースグレード (MT),スズキ
ベースグレード (8),63〜138万円,177.0,1328cc,4,4WD,4AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15238/,"ジムニーシエラ 2002年モデル
                                        (66)",ジムニーシエラ,2002年モデル,ベースグレード,スズキ
ワイルドウインド (MT) 4WD (3),89〜119万円,163.0,1328cc,4,4WD,5MT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15241/,"ジムニーシエラ 2002年モデル
                                        (66)",ジムニーシエラ,2002年モデル,ワイルドウインド (MT) 4WD,スズキ
ワイルドウインド 4WD (4),66〜99万円,174.0,1328cc,4,4WD,4AT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15242/,"ジムニーシエラ 2002年モデル
                                        (66)",ジムニーシエラ,2002年モデル,ワイルドウインド 4WD,スズキ
ランドベンチャー (MT) 4WD (8),99〜189万円,175.0,1328cc,4,4WD,5MT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15243/,"ジムニーシエラ 2002年モデル
                                        (66)",ジムニーシエラ,2002年モデル,ランドベンチャー (MT) 4WD,スズキ
ランドベンチャー 4WD (22),85〜245万円,186.0,1328cc,4,4WD,4AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15244/,"ジムニーシエラ 2002年モデル
                                        (66)",ジムニーシエラ,2002年モデル,ランドベンチャー 4WD,スズキ
クロスアドベンチャー (MT) 4WD (2),144〜159万円,165.0,1328cc,4,4WD,5MT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15248/,"ジムニーシエラ 2002年モデル
                                        (66)",ジムニーシエラ,2002年モデル,クロスアドベンチャー (MT) 4WD,スズキ
クロスアドベンチャー 4WD (4),96〜136万円,176.0,1328cc,4,4WD,4AT,−,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=15249/,"ジムニーシエラ 2002年モデル
                                        (66)",ジムニーシエラ,2002年モデル,クロスアドベンチャー 4WD,スズキ
クロスアドベンチャー (3),86〜206万円,182.0,1328cc,4,4WD,4AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=7/Model=30646/Generation=40305/UCGrade=25117/,"ジムニーシエラ 2002年モデル
                                        (66)",ジムニーシエラ,2002年モデル,クロスアドベンチャー,スズキ
1.8 GT (8),199〜288万円,310.0,1795cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=53057/,"レヴォーグ 2020年モデル
                                        (885)",レヴォーグ,2020年モデル,1.8 GT,スバル
1.8 GT-H (17),216〜327万円,332.0,1795cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=53059/,"レヴォーグ 2020年モデル
                                        (885)",レヴォーグ,2020年モデル,1.8 GT-H,スバル
1.8 Smart Edition(アイサイトX無) (7),313〜334万円,343.0,1795cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=63022/,"レヴォーグ 2020年モデル
                                        (885)",レヴォーグ,2020年モデル,1.8 Smart Edition(アイサイトX無),スバル
1.8 GT EX (60),207〜322万円,348.0,1795cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=53058/,"レヴォーグ 2020年モデル
                                        (885)",レヴォーグ,2020年モデル,1.8 GT EX,スバル
1.8 Smart Edition EX (1),369.0万円,363.0,1795cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=63946/,"レヴォーグ 2020年モデル
                                        (885)",レヴォーグ,2020年モデル,1.8 Smart Edition EX,スバル
1.8 STI Sport (21),267〜375万円,376.0,1795cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=53061/,"レヴォーグ 2020年モデル
                                        (885)",レヴォーグ,2020年モデル,1.8 STI Sport,スバル
1.8 GT-H EX (195),198〜388万円,379.0,1795cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=53060/,"レヴォーグ 2020年モデル
                                        (885)",レヴォーグ,2020年モデル,1.8 GT-H EX,スバル
1.8 STI Sport EX (418),222〜448万円,441.0,1795cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=53062/,"レヴォーグ 2020年モデル
                                        (885)",レヴォーグ,2020年モデル,1.8 STI Sport EX,スバル
1.8 STI Sport EX Black Interior Selection (19),298〜470万円,441.0,1795cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=63948/,"レヴォーグ 2020年モデル
                                        (885)",レヴォーグ,2020年モデル,1.8 STI Sport EX Black Interior Selection,スバル
2.4 STI Sport R EX (85),238〜567万円,509.0,2387cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=57329/,"レヴォーグ 2020年モデル
                                        (885)",レヴォーグ,2020年モデル,2.4 STI Sport R EX,スバル
2.4 STI Sport R EX Black Interior Selection (4),365〜445万円,509.0,2387cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=63950/,"レヴォーグ 2020年モデル
                                        (885)",レヴォーグ,2020年モデル,2.4 STI Sport R EX Black Interior Selection,スバル
STI Sport♯ (7),519〜560万円,576.0,2387cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=63498/,"レヴォーグ 2020年モデル
                                        (885)",レヴォーグ,2020年モデル,STI Sport♯,スバル
1.6GT (3),95〜152万円,266.0,1599cc,5,4WD,CVT,17km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=29258/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,1.6GT,スバル
1.6GT EyeSight Proud Edition (27),76〜179万円,286.0,1599cc,5,4WD,CVT,17km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=32938/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,1.6GT EyeSight Proud Edition,スバル
1.6GT EyeSight (172),54〜229万円,291.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=29259/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,1.6GT EyeSight,スバル
1.6GT EyeSight S-style (69),69〜208万円,292.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=31435/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,1.6GT EyeSight S-style,スバル
1.6GT-S EyeSight Proud Edition (21),88〜167万円,299.0,1599cc,5,4WD,CVT,17km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=32939/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,1.6GT-S EyeSight Proud Edition,スバル
1.6GT EyeSight Smart Edition (27),72〜223万円,300.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=35815/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,1.6GT EyeSight Smart Edition,スバル
1.6GT EyeSight V-SPORT (19),141〜274万円,313.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=47973/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,1.6GT EyeSight V-SPORT,スバル
1.6GT-S EyeSight (378),59〜250万円,313.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=29260/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,1.6GT-S EyeSight,スバル
1.6GT-S EyeSight Advantage Line (8),189〜259万円,341.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=48782/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,1.6GT-S EyeSight Advantage Line,スバル
1.6STI Sport EyeSight (136),139〜274万円,363.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=35047/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,1.6STI Sport EyeSight,スバル
1.6STI Sport EyeSight Black Selection (15),193〜292万円,363.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=48780/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,1.6STI Sport EyeSight Black Selection,スバル
2.0GT EyeSight (17),65〜173万円,334.0,1998cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=29261/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,2.0GT EyeSight,スバル
2.0GT EyeSight V-SPORT (4),145〜199万円,346.0,1998cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=50212/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,2.0GT EyeSight V-SPORT,スバル
2.0GT-S EyeSight (107),67〜242万円,368.0,1998cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=29262/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,2.0GT-S EyeSight,スバル
2.0STI Sport EyeSight (117),74〜348万円,412.0,1998cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=35048/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,2.0STI Sport EyeSight,スバル
2.0STI Sport EyeSight Black Selection (9),203〜329万円,412.0,1998cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=48781/,"レヴォーグ 2014年モデル
                                        (1155)",レヴォーグ,2014年モデル,2.0STI Sport EyeSight Black Selection,スバル
R (MT) (39),210〜346万円,332.0,2387cc,4,RWD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=56082/,"BRZ 2021年モデル
                                        (330)",BRZ,2021年モデル,R (MT),スバル
R (18),229〜336万円,335.0,2387cc,4,RWD,6AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=56081/,"BRZ 2021年モデル
                                        (330)",BRZ,2021年モデル,R,スバル
S 10th Anniversary Limited (MT) (1),352.2万円,338.0,2387cc,4,FR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=59911/,"BRZ 2021年モデル
                                        (330)",BRZ,2021年モデル,S 10th Anniversary Limited (MT),スバル
S (MT) (129),233〜450万円,350.0,2387cc,4,RWD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=56084/,"BRZ 2021年モデル
                                        (330)",BRZ,2021年モデル,S (MT),スバル
S (64),259〜377万円,354.0,2387cc,4,RWD,6AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=56083/,"BRZ 2021年モデル
                                        (330)",BRZ,2021年モデル,S,スバル
STI Sport (MT) (46),250〜427万円,378.0,2387cc,4,RWD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=63561/,"BRZ 2021年モデル
                                        (330)",BRZ,2021年モデル,STI Sport (MT),スバル
STI Sport (13),348〜429万円,381.0,2387cc,4,RWD,6AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=63560/,"BRZ 2021年モデル
                                        (330)",BRZ,2021年モデル,STI Sport,スバル
RA (5),134〜219万円,212.0,1998cc,4,FR,6MT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=24616/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,RA,スバル
R Customize Package (MT) (7),149〜227万円,247.0,1998cc,4,FR,6MT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=30760/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,R Customize Package (MT),スバル
R (MT) (46),98〜234万円,272.0,1998cc,4,FR,6MT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=24617/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,R (MT),スバル
R (13),72〜167万円,278.0,1998cc,4,FR,6AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=24618/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,R,スバル
RA Racing (3),147〜170万円,298.0,1998cc,4,FR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=29330/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,RA Racing,スバル
S (MT) (175),80〜282万円,302.0,1998cc,4,FR,6MT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=24619/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,S (MT),スバル
S (89),75〜288万円,308.0,1998cc,4,FR,6AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=24620/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,S,スバル
STI Sport Cool gray khaki Edition (1),289.9万円,353.0,1998cc,4,FR,6MT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=43697/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,STI Sport Cool gray khaki Edition,スバル
STI Sport (MT) (22),209〜328万円,359.0,1998cc,4,FR,6MT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=43695/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,STI Sport (MT),スバル
STI Sport (6),214〜294万円,365.0,1998cc,4,FR,6AT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=43696/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,STI Sport,スバル
Premium Sport Package (MT) (2),158〜184万円,312.0,1998cc,4,FR,6MT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=28973/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,Premium Sport Package (MT),スバル
Premium Sport Package (3),84〜179万円,320.0,1998cc,4,FR,6AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=28974/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,Premium Sport Package,スバル
GT (MT) (22),149〜291万円,337.0,1998cc,4,FR,6MT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=35224/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,GT (MT),スバル
GT (12),158〜238万円,343.0,1998cc,4,FR,6AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=35223/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,GT,スバル
GT PACKAGE (MT) (3),188〜279万円,441.0,1998cc,4,FR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=27701/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,GT PACKAGE (MT),スバル
tS (MT) (15),161〜290万円,399.0,1998cc,4,FR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=27699/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,tS (MT),スバル
tS (4),149〜288万円,407.0,1998cc,4,FR,6AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=27700/,"BRZ 2012年モデル
                                        (435)",BRZ,2012年モデル,tS,スバル
GT-H (4),325〜361万円,400.0,2387cc,5,4WD,CVT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=42479/UCGrade=57308/,"WRXS4 2021年モデル
                                        (132)",WRXS4,2021年モデル,GT-H,スバル
GT-H EX (21),256〜408万円,447.0,2387cc,5,4WD,CVT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=42479/UCGrade=57309/,"WRXS4 2021年モデル
                                        (132)",WRXS4,2021年モデル,GT-H EX,スバル
STI Sport R (6),375〜440万円,444.0,2387cc,5,4WD,CVT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=42479/UCGrade=57310/,"WRXS4 2021年モデル
                                        (132)",WRXS4,2021年モデル,STI Sport R,スバル
STI Sport R EX (74),321〜490万円,502.0,2387cc,5,4WD,CVT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=42479/UCGrade=57311/,"WRXS4 2021年モデル
                                        (132)",WRXS4,2021年モデル,STI Sport R EX,スバル
2.0GT EyeSight (62),93〜339万円,343.0,1998cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=29720/,"WRXS4 2014年モデル
                                        (328)",WRXS4,2014年モデル,2.0GT EyeSight,スバル
2.0GT-S EyeSight (182),92〜449万円,380.0,1998cc,5,4WD,CVT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=29721/,"WRXS4 2014年モデル
                                        (328)",WRXS4,2014年モデル,2.0GT-S EyeSight,スバル
2.0STI Sport (49),158〜432万円,416.0,1998cc,5,4WD,CVT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=46675/,"WRXS4 2014年モデル
                                        (328)",WRXS4,2014年モデル,2.0STI Sport,スバル
2.0STI Sport EyeSight (4),309〜508万円,416.0,1998cc,5,4WD,CVT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=52275/,"WRXS4 2014年モデル
                                        (328)",WRXS4,2014年モデル,2.0STI Sport EyeSight,スバル
2.0STI Sport# (8),299〜467万円,474.0,1998cc,5,4WD,CVT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=52276/,"WRXS4 2014年モデル
                                        (328)",WRXS4,2014年モデル,2.0STI Sport#,スバル
SporVita (4),149〜219万円,390.0,1998cc,5,4WD,CVT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=33602/,"WRXS4 2014年モデル
                                        (328)",WRXS4,2014年モデル,SporVita,スバル
tS (7),216〜303万円,496.0,1998cc,5,4WD,CVT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=35949/,"WRXS4 2014年モデル
                                        (328)",WRXS4,2014年モデル,tS,スバル
tS NBR　CHALLEGE　PACKAGE (5),259〜476万円,529.0,1998cc,5,4WD,CVT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=35950/,"WRXS4 2014年モデル
                                        (328)",WRXS4,2014年モデル,tS NBR　CHALLEGE　PACKAGE,スバル
ベースグレード (73),222〜680万円,393.0,1994cc,5,4WD,6MT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=29722/,"WRXSTI 2014年モデル
                                        (341)",WRXSTI,2014年モデル,ベースグレード,スバル
Type S (144),215〜1202万円,413.0,1994cc,5,4WD,6MT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=29723/,"WRXSTI 2014年モデル
                                        (341)",WRXSTI,2014年モデル,Type S,スバル
EJ20 Final Edition (1),819.9万円,452.0,1994cc,5,4WD,6MT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=50051/,"WRXSTI 2014年モデル
                                        (341)",WRXSTI,2014年モデル,EJ20 Final Edition,スバル
EJ20 Final Edition FULL PACKAGE (2),688〜819万円,485.0,1994cc,5,4WD,6MT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=50052/,"WRXSTI 2014年モデル
                                        (341)",WRXSTI,2014年モデル,EJ20 Final Edition FULL PACKAGE,スバル
S207 (3),395〜670万円,599.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=33476/,"WRXSTI 2014年モデル
                                        (341)",WRXSTI,2014年モデル,S207,スバル
S207 NBR CHALLENGE PACKAGE (5),474〜708万円,631.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=33477/,"WRXSTI 2014年モデル
                                        (341)",WRXSTI,2014年モデル,S207 NBR CHALLENGE PACKAGE,スバル
S208 NBR CHALLENGE PACKAGE Carbon Rear Wing (6),814〜990万円,710.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=43705/,"WRXSTI 2014年モデル
                                        (341)",WRXSTI,2014年モデル,S208 NBR CHALLENGE PACKAGE Carbon Rear Wing,スバル
A-Line (49),80〜330万円,324.0,2457cc,5,4WD,5AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=24164/,"WRXSTI 2010年モデル
                                        (158)",WRXSTI,2010年モデル,A-Line,スバル
A-Line type S (7),124〜199万円,356.0,2457cc,5,4WD,5AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=24329/,"WRXSTI 2010年モデル
                                        (158)",WRXSTI,2010年モデル,A-Line type S,スバル
spec C 18インチタイヤ仕様 (13),219〜442万円,380.0,1994cc,5,4WD,6MT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=25507/,"WRXSTI 2010年モデル
                                        (158)",WRXSTI,2010年モデル,spec C 18インチタイヤ仕様,スバル
ベースグレード (80),155〜432万円,384.0,1994cc,5,4WD,6MT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=24165/,"WRXSTI 2010年モデル
                                        (158)",WRXSTI,2010年モデル,ベースグレード,スバル
tS TYPE RA (2),315〜354万円,453.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=27483/,"WRXSTI 2010年モデル
                                        (158)",WRXSTI,2010年モデル,tS TYPE RA,スバル
tS TYPE RA NBR CHALLENGE PACKAGE RECARO (3),493〜542万円,522.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=27485/,"WRXSTI 2010年モデル
                                        (158)",WRXSTI,2010年モデル,tS TYPE RA NBR CHALLENGE PACKAGE RECARO,スバル
A-Line 4WD (14),79〜135万円,315.0,2457cc,5,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22143/,"WRXSTI5door 2007年モデル
                                        (128)",WRXSTI5door,2007年モデル,A-Line 4WD,スバル
A-Line (10),110〜199万円,324.0,2457cc,5,4WD,5AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22148/,"WRXSTI5door 2007年モデル
                                        (128)",WRXSTI5door,2007年モデル,A-Line,スバル
A-Line Type S 4WD (6),108〜144万円,325.0,2457cc,5,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22146/,"WRXSTI5door 2007年モデル
                                        (128)",WRXSTI5door,2007年モデル,A-Line Type S 4WD,スバル
A-Line type S (1),129.9万円,351.0,2457cc,5,4WD,5AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=24330/,"WRXSTI5door 2007年モデル
                                        (128)",WRXSTI5door,2007年モデル,A-Line type S,スバル
