グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
1.8 GT-H EX (227),209〜446万円,379.0,1795cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=53060/,"レヴォーグ 2020年モデル
                                        (962)",レヴォーグ,2020年モデル,1.8 GT-H EX,スバル
1.8 STI Sport EX (457),222〜448万円,441.0,1795cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=53062/,"レヴォーグ 2020年モデル
                                        (962)",レヴォーグ,2020年モデル,1.8 STI Sport EX,スバル
1.8 STI Sport EX Black Interior Selection (17),344〜470万円,441.0,1795cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=63948/,"レヴォーグ 2020年モデル
                                        (962)",レヴォーグ,2020年モデル,1.8 STI Sport EX Black Interior Selection,スバル
2.4 STI Sport R EX (83),238〜567万円,509.0,2387cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=57329/,"レヴォーグ 2020年モデル
                                        (962)",レヴォーグ,2020年モデル,2.4 STI Sport R EX,スバル
2.4 STI Sport R EX Black Interior Selection (5),365〜487万円,509.0,2387cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=63950/,"レヴォーグ 2020年モデル
                                        (962)",レヴォーグ,2020年モデル,2.4 STI Sport R EX Black Interior Selection,スバル
STI Sport♯ (7),499〜560万円,576.0,2387cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=42379/UCGrade=63498/,"レヴォーグ 2020年モデル
                                        (962)",レヴォーグ,2020年モデル,STI Sport♯,スバル
1.6GT (2),134〜139万円,266.0,1599cc,5,4WD,CVT,17km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=29258/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,1.6GT,スバル
1.6GT EyeSight Proud Edition (29),73〜179万円,286.0,1599cc,5,4WD,CVT,17km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=32938/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,1.6GT EyeSight Proud Edition,スバル
1.6GT EyeSight (180),54〜229万円,291.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=29259/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,1.6GT EyeSight,スバル
1.6GT EyeSight S-style (77),69〜209万円,292.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=31435/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,1.6GT EyeSight S-style,スバル
1.6GT-S EyeSight Proud Edition (21),88〜167万円,299.0,1599cc,5,4WD,CVT,17km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=32939/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,1.6GT-S EyeSight Proud Edition,スバル
1.6GT EyeSight Smart Edition (36),72〜223万円,300.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=35815/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,1.6GT EyeSight Smart Edition,スバル
1.6GT EyeSight V-SPORT (22),153〜274万円,313.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=47973/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,1.6GT EyeSight V-SPORT,スバル
1.6GT-S EyeSight (385),59〜250万円,313.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=29260/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,1.6GT-S EyeSight,スバル
1.6GT-S EyeSight Advantage Line (8),164〜250万円,341.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=48782/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,1.6GT-S EyeSight Advantage Line,スバル
1.6STI Sport EyeSight (139),139〜274万円,363.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=35047/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,1.6STI Sport EyeSight,スバル
1.6STI Sport EyeSight Black Selection (19),169〜292万円,363.0,1599cc,5,4WD,CVT,16km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=48780/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,1.6STI Sport EyeSight Black Selection,スバル
2.0GT EyeSight (15),65〜173万円,334.0,1998cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=29261/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,2.0GT EyeSight,スバル
2.0GT EyeSight V-SPORT (3),145〜194万円,346.0,1998cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=50212/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,2.0GT EyeSight V-SPORT,スバル
2.0GT-S EyeSight (102),65〜242万円,368.0,1998cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=29262/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,2.0GT-S EyeSight,スバル
2.0STI Sport EyeSight (110),84〜348万円,412.0,1998cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=35048/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,2.0STI Sport EyeSight,スバル
2.0STI Sport EyeSight Black Selection (10),203〜329万円,412.0,1998cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33084/Generation=41748/UCGrade=48781/,"レヴォーグ 2014年モデル
                                        (1189)",レヴォーグ,2014年モデル,2.0STI Sport EyeSight Black Selection,スバル
R (MT) (36),210〜346万円,332.0,2387cc,4,RWD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=56082/,"BRZ 2021年モデル
                                        (363)",BRZ,2021年モデル,R (MT),スバル
R (19),229〜281万円,335.0,2387cc,4,RWD,6AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=56081/,"BRZ 2021年モデル
                                        (363)",BRZ,2021年モデル,R,スバル
S 10th Anniversary Limited (MT) (1),352.2万円,338.0,2387cc,4,FR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=59911/,"BRZ 2021年モデル
                                        (363)",BRZ,2021年モデル,S 10th Anniversary Limited (MT),スバル
S (MT) (147),233〜450万円,350.0,2387cc,4,RWD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=56084/,"BRZ 2021年モデル
                                        (363)",BRZ,2021年モデル,S (MT),スバル
S (71),259〜366万円,354.0,2387cc,4,RWD,6AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=56083/,"BRZ 2021年モデル
                                        (363)",BRZ,2021年モデル,S,スバル
STI Sport (MT) (47),250〜427万円,378.0,2387cc,4,RWD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=63561/,"BRZ 2021年モデル
                                        (363)",BRZ,2021年モデル,STI Sport (MT),スバル
STI Sport (20),272〜429万円,381.0,2387cc,4,RWD,6AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=42443/UCGrade=63560/,"BRZ 2021年モデル
                                        (363)",BRZ,2021年モデル,STI Sport,スバル
RA (5),134〜219万円,212.0,1998cc,4,FR,6MT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=24616/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,RA,スバル
R Customize Package (MT) (6),145〜227万円,247.0,1998cc,4,FR,6MT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=30760/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,R Customize Package (MT),スバル
R (MT) (54),98〜279万円,272.0,1998cc,4,FR,6MT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=24617/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,R (MT),スバル
R (15),72〜192万円,278.0,1998cc,4,FR,6AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=24618/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,R,スバル
RA Racing (3),147〜170万円,298.0,1998cc,4,FR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=29330/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,RA Racing,スバル
S (MT) (172),103〜282万円,302.0,1998cc,4,FR,6MT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=24619/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,S (MT),スバル
S (82),83〜288万円,308.0,1998cc,4,FR,6AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=24620/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,S,スバル
STI Sport Cool gray khaki Edition (1),289.9万円,353.0,1998cc,4,FR,6MT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=43697/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,STI Sport Cool gray khaki Edition,スバル
STI Sport (MT) (23),199〜328万円,359.0,1998cc,4,FR,6MT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=43695/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,STI Sport (MT),スバル
STI Sport (7),200〜294万円,365.0,1998cc,4,FR,6AT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=43696/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,STI Sport,スバル
Premium Sport Package (MT) (2),158〜179万円,312.0,1998cc,4,FR,6MT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=28973/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,Premium Sport Package (MT),スバル
Premium Sport Package (2),94〜179万円,320.0,1998cc,4,FR,6AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=28974/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,Premium Sport Package,スバル
GT (MT) (18),220〜291万円,337.0,1998cc,4,FR,6MT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=35224/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,GT (MT),スバル
GT (11),158〜238万円,343.0,1998cc,4,FR,6AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=35223/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,GT,スバル
GT PACKAGE (MT) (4),188〜279万円,441.0,1998cc,4,FR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=27701/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,GT PACKAGE (MT),スバル
tS (MT) (14),164〜290万円,399.0,1998cc,4,FR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=27699/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,tS (MT),スバル
tS (4),139〜288万円,407.0,1998cc,4,FR,6AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31762/Generation=41547/UCGrade=27700/,"BRZ 2012年モデル
                                        (434)",BRZ,2012年モデル,tS,スバル
GT-H (5),325〜372万円,400.0,2387cc,5,4WD,CVT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=42479/UCGrade=57308/,"WRXS4 2021年モデル
                                        (143)",WRXS4,2021年モデル,GT-H,スバル
GT-H EX (19),244〜408万円,447.0,2387cc,5,4WD,CVT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=42479/UCGrade=57309/,"WRXS4 2021年モデル
                                        (143)",WRXS4,2021年モデル,GT-H EX,スバル
STI Sport R (6),375〜440万円,444.0,2387cc,5,4WD,CVT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=42479/UCGrade=57310/,"WRXS4 2021年モデル
                                        (143)",WRXS4,2021年モデル,STI Sport R,スバル
STI Sport R EX (88),309〜507万円,502.0,2387cc,5,4WD,CVT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=42479/UCGrade=57311/,"WRXS4 2021年モデル
                                        (143)",WRXS4,2021年モデル,STI Sport R EX,スバル
2.0GT EyeSight (69),92〜339万円,343.0,1998cc,5,4WD,CVT,13km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=29720/,"WRXS4 2014年モデル
                                        (341)",WRXS4,2014年モデル,2.0GT EyeSight,スバル
2.0GT-S EyeSight (179),92〜449万円,380.0,1998cc,5,4WD,CVT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=29721/,"WRXS4 2014年モデル
                                        (341)",WRXS4,2014年モデル,2.0GT-S EyeSight,スバル
2.0STI Sport (53),148〜432万円,416.0,1998cc,5,4WD,CVT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=46675/,"WRXS4 2014年モデル
                                        (341)",WRXS4,2014年モデル,2.0STI Sport,スバル
2.0STI Sport EyeSight (5),309〜508万円,416.0,1998cc,5,4WD,CVT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=52275/,"WRXS4 2014年モデル
                                        (341)",WRXS4,2014年モデル,2.0STI Sport EyeSight,スバル
2.0STI Sport# (12),299〜467万円,474.0,1998cc,5,4WD,CVT,11km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=52276/,"WRXS4 2014年モデル
                                        (341)",WRXS4,2014年モデル,2.0STI Sport#,スバル
SporVita (3),149〜168万円,390.0,1998cc,5,4WD,CVT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=33602/,"WRXS4 2014年モデル
                                        (341)",WRXS4,2014年モデル,SporVita,スバル
tS (7),216〜303万円,496.0,1998cc,5,4WD,CVT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=35949/,"WRXS4 2014年モデル
                                        (341)",WRXS4,2014年モデル,tS,スバル
tS NBR　CHALLEGE　PACKAGE (5),259〜476万円,529.0,1998cc,5,4WD,CVT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=35950/,"WRXS4 2014年モデル
                                        (341)",WRXS4,2014年モデル,tS NBR　CHALLEGE　PACKAGE,スバル
ベースグレード (75),214〜680万円,393.0,1994cc,5,4WD,6MT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=29722/,"WRXSTI 2014年モデル
                                        (349)",WRXSTI,2014年モデル,ベースグレード,スバル
Type S (145),223〜1202万円,413.0,1994cc,5,4WD,6MT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=29723/,"WRXSTI 2014年モデル
                                        (349)",WRXSTI,2014年モデル,Type S,スバル
EJ20 Final Edition (1),819.9万円,452.0,1994cc,5,4WD,6MT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=50051/,"WRXSTI 2014年モデル
                                        (349)",WRXSTI,2014年モデル,EJ20 Final Edition,スバル
EJ20 Final Edition FULL PACKAGE (2),688〜819万円,485.0,1994cc,5,4WD,6MT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=50052/,"WRXSTI 2014年モデル
                                        (349)",WRXSTI,2014年モデル,EJ20 Final Edition FULL PACKAGE,スバル
S207 (3),385〜670万円,599.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=33476/,"WRXSTI 2014年モデル
                                        (349)",WRXSTI,2014年モデル,S207,スバル
S207 NBR CHALLENGE PACKAGE (3),474〜705万円,631.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=33477/,"WRXSTI 2014年モデル
                                        (349)",WRXSTI,2014年モデル,S207 NBR CHALLENGE PACKAGE,スバル
S208 NBR CHALLENGE PACKAGE Carbon Trunk Lip (1),468.7万円,689.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=43704/,"WRXSTI 2014年モデル
                                        (349)",WRXSTI,2014年モデル,S208 NBR CHALLENGE PACKAGE Carbon Trunk Lip,スバル
S208 NBR CHALLENGE PACKAGE Carbon Rear Wing (6),814〜990万円,710.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=43705/,"WRXSTI 2014年モデル
                                        (349)",WRXSTI,2014年モデル,S208 NBR CHALLENGE PACKAGE Carbon Rear Wing,スバル
A-Line (50),80〜330万円,324.0,2457cc,5,4WD,5AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=24164/,"WRXSTI 2010年モデル
                                        (160)",WRXSTI,2010年モデル,A-Line,スバル
A-Line type S (6),124〜199万円,356.0,2457cc,5,4WD,5AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=24329/,"WRXSTI 2010年モデル
                                        (160)",WRXSTI,2010年モデル,A-Line type S,スバル
spec C 18インチタイヤ仕様 (12),228〜442万円,380.0,1994cc,5,4WD,6MT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=25507/,"WRXSTI 2010年モデル
                                        (160)",WRXSTI,2010年モデル,spec C 18インチタイヤ仕様,スバル
ベースグレード (84),155〜432万円,384.0,1994cc,5,4WD,6MT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=24165/,"WRXSTI 2010年モデル
                                        (160)",WRXSTI,2010年モデル,ベースグレード,スバル
tS TYPE RA (2),315〜354万円,453.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=27483/,"WRXSTI 2010年モデル
                                        (160)",WRXSTI,2010年モデル,tS TYPE RA,スバル
tS TYPE RA NBR CHALLENGE PACKAGE RECARO (2),495〜503万円,522.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=27485/,"WRXSTI 2010年モデル
                                        (160)",WRXSTI,2010年モデル,tS TYPE RA NBR CHALLENGE PACKAGE RECARO,スバル
A-Line 4WD (16),79〜152万円,315.0,2457cc,5,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22143/,"WRXSTI5door 2007年モデル
                                        (128)",WRXSTI5door,2007年モデル,A-Line 4WD,スバル
A-Line (10),105〜199万円,324.0,2457cc,5,4WD,5AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22148/,"WRXSTI5door 2007年モデル
                                        (128)",WRXSTI5door,2007年モデル,A-Line,スバル
A-Line Type S 4WD (6),108〜144万円,325.0,2457cc,5,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22146/,"WRXSTI5door 2007年モデル
                                        (128)",WRXSTI5door,2007年モデル,A-Line Type S 4WD,スバル
spec C 17インチタイヤ仕様 (1),249.9万円,342.0,1994cc,5,4WD,6MT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=24328/,"WRXSTI5door 2007年モデル
                                        (128)",WRXSTI5door,2007年モデル,spec C 17インチタイヤ仕様,スバル
spec C 18インチタイヤ仕様 (MT) 4WD (14),228〜404万円,368.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22144/,"WRXSTI5door 2007年モデル
                                        (128)",WRXSTI5door,2007年モデル,spec C 18インチタイヤ仕様 (MT) 4WD,スバル
spec C 18インチタイヤ仕様 (5),229〜302万円,374.0,1994cc,5,4WD,6MT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=24327/,"WRXSTI5door 2007年モデル
                                        (128)",WRXSTI5door,2007年モデル,spec C 18インチタイヤ仕様,スバル
ベースグレード (MT) 4WD (54),118〜309万円,365.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22140/,"WRXSTI5door 2007年モデル
                                        (128)",WRXSTI5door,2007年モデル,ベースグレード (MT) 4WD,スバル
ベースグレード (15),169〜347万円,379.0,1994cc,5,4WD,6MT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22147/,"WRXSTI5door 2007年モデル
                                        (128)",WRXSTI5door,2007年モデル,ベースグレード,スバル
4ドア (MT) 4WD (5),219〜289万円,373.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22151/,"WRXSTI5door 2007年モデル
                                        (128)",WRXSTI5door,2007年モデル,4ドア (MT) 4WD,スバル
tS (2),248〜299万円,472.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22149/,"WRXSTI5door 2007年モデル
                                        (128)",WRXSTI5door,2007年モデル,tS,スバル
ベースグレード (112),155〜300万円,250.0,658cc,2,FF,CVT,−,https://kakaku.com/kuruma/used/spec/Maker=8/Model=33377/Generation=42292/UCGrade=49985/,"コペンGRSPORT 2019年モデル
                                        (235)",コペンGRSPORT,2019年モデル,ベースグレード,ダイハツ
ベースグレード (MT) (74),168〜286万円,255.0,658cc,2,FF,5MT,−,https://kakaku.com/kuruma/used/spec/Maker=8/Model=33377/Generation=42292/UCGrade=49984/,"コペンGRSPORT 2019年モデル
                                        (235)",コペンGRSPORT,2019年モデル,ベースグレード (MT),ダイハツ
R/T (左ハンドル) (8),248〜799万円,598.0,5654cc,5,FR,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=20/Model=30894/Generation=40648/UCGrade=17766/,"チャージャー 2007年モデル
                                        (56)",チャージャー,2007年モデル,R/T (左ハンドル),ダッジ
SRT8 (左ハンドル) (2),299〜381万円,651.0,6059cc,5,FR,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=20/Model=30894/Generation=40648/UCGrade=17765/,"チャージャー 2007年モデル
                                        (56)",チャージャー,2007年モデル,SRT8 (左ハンドル),ダッジ
スタンダードレンジ プラス (28),189〜338万円,454.0,−,5,RWD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33212/Generation=41977/UCGrade=48947/,"モデル3 2019年モデル
                                        (221)",モデル3,2019年モデル,スタンダードレンジ プラス,テスラ
RWD (29),279〜500万円,531.0,−,5,RWD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33212/Generation=41977/UCGrade=58263/,"モデル3 2019年モデル
                                        (221)",モデル3,2019年モデル,RWD,テスラ
デュアルモーターAWD ロングレンジ (29),239〜480万円,621.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33212/Generation=41977/UCGrade=49245/,"モデル3 2019年モデル
                                        (221)",モデル3,2019年モデル,デュアルモーターAWD ロングレンジ,テスラ
デュアルモーターAWD パフォーマンス (1),248.0万円,725.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33212/Generation=41977/UCGrade=48946/,"モデル3 2019年モデル
                                        (221)",モデル3,2019年モデル,デュアルモーターAWD パフォーマンス,テスラ
60 (1),170.0万円,865.0,−,5,RWD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33100/Generation=41770/UCGrade=31505/,"モデルS 2014年モデル
                                        (34)",モデルS,2014年モデル,60,テスラ
75 (4),295〜358万円,900.0,−,5,RWD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33100/Generation=41770/UCGrade=35823/,"モデルS 2014年モデル
                                        (34)",モデルS,2014年モデル,75,テスラ
75D (1),370.0万円,1003.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33100/Generation=41770/UCGrade=35824/,"モデルS 2014年モデル
                                        (34)",モデルS,2014年モデル,75D,テスラ
85D (1),149.0万円,1118.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33100/Generation=41770/UCGrade=31508/,"モデルS 2014年モデル
                                        (34)",モデルS,2014年モデル,85D,テスラ
P85 (1),178.0万円,1081.0,−,5,FR,−,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33100/Generation=41770/UCGrade=31507/,"モデルS 2014年モデル
                                        (34)",モデルS,2014年モデル,P85,テスラ
P100D (3),448〜999万円,1705.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33100/Generation=41770/UCGrade=35681/,"モデルS 2014年モデル
                                        (34)",モデルS,2014年モデル,P100D,テスラ
100D (3),339〜573万円,1227.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33100/Generation=41770/UCGrade=36670/,"モデルS 2014年モデル
                                        (34)",モデルS,2014年モデル,100D,テスラ
75D (5),348〜581万円,1097.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33101/Generation=41771/UCGrade=35683/,"モデルX 2016年モデル
                                        (44)",モデルX,2016年モデル,75D,テスラ
ロングレンジ (3),698〜1120万円,1299.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33101/Generation=41771/UCGrade=48529/,"モデルX 2016年モデル
                                        (44)",モデルX,2016年モデル,ロングレンジ,テスラ
