グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
AUTOBIOGRAPHY LONG WHEELBASE (2),2180〜2335万円,2684.0,4394cc,5,4WD,8AT,−,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=42473/UCGrade=57003/,"レンジローバー 2021年モデル
                                        (112)",レンジローバー,2021年モデル,AUTOBIOGRAPHY LONG WHEELBASE,ランドローバー
FIRST EDITION (3),1804〜1860万円,2307.0,4395cc,5,4WD,8AT,−,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=42473/UCGrade=57005/,"レンジローバー 2021年モデル
                                        (112)",レンジローバー,2021年モデル,FIRST EDITION,ランドローバー
LAUNCH EDITION (1),1896万円,2310.0,4395cc,5,4WD,8AT,−,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=42473/UCGrade=57238/,"レンジローバー 2021年モデル
                                        (112)",レンジローバー,2021年モデル,LAUNCH EDITION,ランドローバー
5.0 V8 SUPERCHARGED VOGUE (4),397〜698万円,1652.0,4999cc,5,4WD,8AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=28172/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,5.0 V8 SUPERCHARGED VOGUE,ランドローバー
3.0 V6 SUPERCHARGED VOGUE (5),350〜541万円,1371.0,2994cc,5,4WD,8AT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=28171/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,3.0 V6 SUPERCHARGED VOGUE,ランドローバー
3.0 V6 SUPERCHARGED VOGUE (5),350〜541万円,1485.0,2994cc,5,4WD,8AT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=28171/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,3.0 V6 SUPERCHARGED VOGUE,ランドローバー
VOGUE 340ps (4),548〜694万円,1409.0,2994cc,5,4WD,8AT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=36278/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,VOGUE 340ps,ランドローバー
VOGUE (ディーゼル) (10),544〜1019万円,1493.0,2992cc,5,4WD,8AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=36286/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,VOGUE (ディーゼル),ランドローバー
VOGUE LONG WHEELBASE (1),696.8万円,1554.0,2994cc,5,4WD,8AT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=36280/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,VOGUE LONG WHEELBASE,ランドローバー
VOGUE (4),548〜658万円,1702.0,4999cc,5,4WD,8AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=36281/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,VOGUE,ランドローバー
WESTMINSTER BLACK (2),797.0万円,1597.0,2992cc,5,4WD,8AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=52719/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,WESTMINSTER BLACK,ランドローバー
AUTOBIOGRAPHY (ディーゼル) (4),723〜942万円,1790.0,2992cc,5,4WD,8AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=36287/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,AUTOBIOGRAPHY (ディーゼル),ランドローバー
Autobiography (20),330〜1389万円,1983.0,4999cc,5,4WD,8AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=26789/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,Autobiography,ランドローバー
AUTOBIOGRAPHY LONG WHEELBASE (6),553〜998万円,2072.0,4999cc,5,4WD,8AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=29199/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,AUTOBIOGRAPHY LONG WHEELBASE,ランドローバー
SVO DESIGN EDITION 2019 (1),643.8万円,1909.0,2992cc,5,4WD,8AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=49309/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,SVO DESIGN EDITION 2019,ランドローバー
SVO DESIGN EDITION SUPERCHARGED (1),758.0万円,1931.0,4999cc,5,4WD,8AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=43961/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,SVO DESIGN EDITION SUPERCHARGED,ランドローバー
SVAutobiography DYNAMIC (3),938〜1600万円,2578.0,4999cc,5,4WD,8AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=36284/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,SVAutobiography DYNAMIC,ランドローバー
SVAutobiography LONG WHEELBASE (1),1120万円,3202.0,4999cc,4,4WD,8AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=45076/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,SVAutobiography LONG WHEELBASE,ランドローバー
Fifty (1),1523万円,2299.0,4999cc,5,4WD,8AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=41637/UCGrade=52720/,"レンジローバー 2013年モデル
                                        (78)",レンジローバー,2013年モデル,Fifty,ランドローバー
SE 4WD (4),159〜253万円,879.0,−,−,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=38/Model=31158/Generation=40492/UCGrade=17027/,"レンジローバー 2000年モデル
                                        (43)",レンジローバー,2000年モデル,SE 4WD,ランドローバー
