,グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
29,C63 (4),380〜627万円,1279.0,3982cc,5,FR,9AT,8.8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=32221/,"Cクラスセダン 2015年モデル
                                        (80)",Cクラスセダン,2015年モデル,C63,AMG
30,C63 S Edition1 (5),430〜740万円,1420.0,3982cc,5,FR,7AT,9.5km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=33094/,"Cクラスセダン 2015年モデル
                                        (80)",Cクラスセダン,2015年モデル,C63 S Edition1,AMG
31,C63 S Edition1 (左ハンドル) (1),740.8万円,1420.0,3982cc,5,FR,7AT,9.5km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=33095/,"Cクラスセダン 2015年モデル
                                        (80)",Cクラスセダン,2015年モデル,C63 S Edition1 (左ハンドル),AMG
32,C63 S (10),467〜811万円,1455.0,3982cc,5,FR,9AT,8.8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=32223/,"Cクラスセダン 2015年モデル
                                        (80)",Cクラスセダン,2015年モデル,C63 S,AMG
33,C63 (3),288〜559万円,1116.0,6208cc,5,FR,7AT,7.1km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=40958/UCGrade=21285/,"Cクラスセダン 2007年モデル
                                        (5)",Cクラスセダン,2007年モデル,C63,AMG
34,C63 Edition 507 (1),応談,1244.0,6208cc,5,FR,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=40958/UCGrade=28889/,"Cクラスセダン 2007年モデル
                                        (5)",Cクラスセダン,2007年モデル,C63 Edition 507,AMG
35,C63 Edition 507 (左ハンドル) (1),1050万円,1244.0,6208cc,5,FR,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=40958/UCGrade=28890/,"Cクラスセダン 2007年モデル
                                        (5)",Cクラスセダン,2007年モデル,C63 Edition 507 (左ハンドル),AMG
36,C32 (1),211.0万円,913.0,−,−,FR,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=40957/UCGrade=21283/,"Cクラスセダン 2001年モデル
                                        (4)",Cクラスセダン,2001年モデル,C32,AMG
37,C55 (3),189〜219万円,966.0,5438cc,5,FR,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=40957/UCGrade=21284/,"Cクラスセダン 2001年モデル
                                        (4)",Cクラスセダン,2001年モデル,C55,AMG
38,CLA 45 S 4MATIC+ (34),538〜928万円,1062.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31913/Generation=42313/UCGrade=50462/,"CLAクラス 2019年モデル
                                        (54)",CLAクラス,2019年モデル,CLA 45 S 4MATIC+,AMG
39,CLA 45 S 4MATIC+ Edition 55 (1),858.0万円,1128.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31913/Generation=42313/UCGrade=60936/,"CLAクラス 2019年モデル
                                        (54)",CLAクラス,2019年モデル,CLA 45 S 4MATIC+ Edition 55,AMG
40,CLA 45 S 4MATIC+ Street Style Edition (2),942〜980万円,1186.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31913/Generation=42313/UCGrade=64048/,"CLAクラス 2019年モデル
                                        (54)",CLAクラス,2019年モデル,CLA 45 S 4MATIC+ Street Style Edition,AMG
41,CLA 35 4MATIC (15),439〜797万円,866.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31913/Generation=42313/UCGrade=51013/,"CLAクラス 2019年モデル
                                        (54)",CLAクラス,2019年モデル,CLA 35 4MATIC,AMG
42,CLA45 4MATIC (32),161〜328万円,798.0,1991cc,5,4WD,−,12.6km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31913/Generation=41704/UCGrade=28924/,"CLAクラス 2013年モデル
                                        (33)",CLAクラス,2013年モデル,CLA45 4MATIC,AMG
43,CLA 45 S 4MATIC+ Shooting Brake (19),492〜837万円,1075.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33170/Generation=42314/UCGrade=50463/,"CLAクラスシューティングブレーク 2019年モデル
                                        (42)",CLAクラスシューティングブレーク,2019年モデル,CLA 45 S 4MATIC+ Shooting Brake,AMG
44,CLA 35 4MATIC シューティングブレーク (16),379〜724万円,876.0,1991cc,5,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33170/Generation=42314/UCGrade=51014/,"CLAクラスシューティングブレーク 2019年モデル
                                        (42)",CLAクラスシューティングブレーク,2019年モデル,CLA 35 4MATIC シューティングブレーク,AMG
45,CLA45 4MATIC Shooting Brake (16),214〜343万円,814.0,1991cc,5,4WD,−,12.6km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33170/Generation=41901/UCGrade=33696/,"CLAクラスシューティングブレーク 2015年モデル
                                        (20)",CLAクラスシューティングブレーク,2015年モデル,CLA45 4MATIC Shooting Brake,AMG
