,グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
1978,GTS (5),878〜1086万円,966.0,3436cc,2,MR,−,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30982/Generation=41569/UCGrade=29340/,"718ボクスター 2012年モデル
                                        (70)",718ボクスター,2012年モデル,GTS,ポルシェ
1979,GTS (左ハンドル) (1),989.0万円,966.0,3436cc,2,MR,−,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30982/Generation=41569/UCGrade=29341/,"718ボクスター 2012年モデル
                                        (70)",718ボクスター,2012年モデル,GTS (左ハンドル),ポルシェ
1980,スパイダー (1),1480万円,1012.0,3799cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30982/Generation=41569/UCGrade=32637/,"718ボクスター 2012年モデル
                                        (70)",718ボクスター,2012年モデル,スパイダー,ポルシェ
1981,スパイダー (左ハンドル) (2),1578〜1613万円,1012.0,3799cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30982/Generation=41569/UCGrade=32638/,"718ボクスター 2012年モデル
                                        (70)",718ボクスター,2012年モデル,スパイダー (左ハンドル),ポルシェ
1982,ベースグレード (1),応談,615.0,2892cc,2,MR,7PDK,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30982/Generation=41386/UCGrade=24382/,"718ボクスター 2004年モデル
                                        (77)",718ボクスター,2004年モデル,ベースグレード,ポルシェ
1983,S (左ハンドル) (1),375.0万円,747.0,3436cc,2,MR,7PDK,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30982/Generation=41386/UCGrade=24387/,"718ボクスター 2004年モデル
                                        (77)",718ボクスター,2004年モデル,S (左ハンドル),ポルシェ
1984,スパイダー (1),1070万円,918.0,3436cc,2,MR,7PDK,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30982/Generation=41386/UCGrade=24391/,"718ボクスター 2004年モデル
                                        (77)",718ボクスター,2004年モデル,スパイダー,ポルシェ
1985,ベースグレード (30),498〜1001万円,948.0,1987cc,2,MR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41984/UCGrade=34718/,"718ケイマン 2016年モデル
                                        (127)",718ケイマン,2016年モデル,ベースグレード,ポルシェ
1986,ベースグレード (MT) (9),571〜905万円,948.0,1987cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41984/UCGrade=34716/,"718ケイマン 2016年モデル
                                        (127)",718ケイマン,2016年モデル,ベースグレード (MT),ポルシェ
1987,Style Edition (3),982〜1140万円,990.0,1987cc,2,MR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41984/UCGrade=60951/,"718ケイマン 2016年モデル
                                        (127)",718ケイマン,2016年モデル,Style Edition,ポルシェ
1988,Style Edition (MT) (左ハンドル) (1),970.0万円,990.0,1987cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41984/UCGrade=60950/,"718ケイマン 2016年モデル
                                        (127)",718ケイマン,2016年モデル,Style Edition (MT) (左ハンドル),ポルシェ
1989,Style Edition (左ハンドル) (1),982.0万円,990.0,1987cc,2,MR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41984/UCGrade=60952/,"718ケイマン 2016年モデル
                                        (127)",718ケイマン,2016年モデル,Style Edition (左ハンドル),ポルシェ
1990,S (7),590〜858万円,1077.0,2497cc,2,MR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41984/UCGrade=34722/,"718ケイマン 2016年モデル
                                        (127)",718ケイマン,2016年モデル,S,ポルシェ
1991,S (MT) (2),758〜898万円,1077.0,2497cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41984/UCGrade=34720/,"718ケイマン 2016年モデル
                                        (127)",718ケイマン,2016年モデル,S (MT),ポルシェ
1992,GTS (MT) (3),885〜1648万円,1024.0,2497cc,2,MR,6MT,11.4km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41984/UCGrade=43948/,"718ケイマン 2016年モデル
                                        (127)",718ケイマン,2016年モデル,GTS (MT),ポルシェ
1993,GTS (7),912〜1511万円,1079.0,2497cc,2,MR,7DCT,11.4km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41984/UCGrade=43950/,"718ケイマン 2016年モデル
                                        (127)",718ケイマン,2016年モデル,GTS,ポルシェ
1994,GTS 4.0 (6),1170〜1577万円,1262.0,3995cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41984/UCGrade=50993/,"718ケイマン 2016年モデル
                                        (127)",718ケイマン,2016年モデル,GTS 4.0,ポルシェ
1995,GTS 4.0 PDK (3),1285〜1405万円,1262.0,3995cc,2,MR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41984/UCGrade=59982/,"718ケイマン 2016年モデル
                                        (127)",718ケイマン,2016年モデル,GTS 4.0 PDK,ポルシェ
1996,ベースグレード (MT) (5),498〜698万円,629.0,2706cc,2,MR,6MT,11.6km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41626/UCGrade=26536/,"718ケイマン 2012年モデル
                                        (78)",718ケイマン,2012年モデル,ベースグレード (MT),ポルシェ
1997,ベースグレード (11),338〜663万円,682.0,2706cc,2,MR,7DCT,12.0km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41626/UCGrade=26538/,"718ケイマン 2012年モデル
                                        (78)",718ケイマン,2012年モデル,ベースグレード,ポルシェ
1998,ベースグレード (左ハンドル) (4),470〜723万円,682.0,2706cc,2,MR,7DCT,12.0km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41626/UCGrade=26539/,"718ケイマン 2012年モデル
                                        (78)",718ケイマン,2012年モデル,ベースグレード (左ハンドル),ポルシェ
1999,S (MT) (2),581〜777万円,795.0,3436cc,2,MR,6MT,10.0km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41626/UCGrade=26540/,"718ケイマン 2012年モデル
                                        (78)",718ケイマン,2012年モデル,S (MT),ポルシェ
2000,S (MT) (左ハンドル) (2),709〜775万円,795.0,3436cc,2,MR,6MT,10.0km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41626/UCGrade=26541/,"718ケイマン 2012年モデル
                                        (78)",718ケイマン,2012年モデル,S (MT) (左ハンドル),ポルシェ
2001,S (3),488〜699万円,848.0,3436cc,2,MR,7DCT,11.4km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41626/UCGrade=26542/,"718ケイマン 2012年モデル
                                        (78)",718ケイマン,2012年モデル,S,ポルシェ
2002,S (左ハンドル) (1),614.4万円,848.0,3436cc,2,MR,7DCT,11.4km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41626/UCGrade=26543/,"718ケイマン 2012年モデル
                                        (78)",718ケイマン,2012年モデル,S (左ハンドル),ポルシェ
2003,GTS (MT) (3),839〜1012万円,915.0,3436cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41626/UCGrade=29342/,"718ケイマン 2012年モデル
                                        (78)",718ケイマン,2012年モデル,GTS (MT),ポルシェ
2004,GTS (MT) (左ハンドル) (4),839〜988万円,915.0,3436cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41626/UCGrade=29343/,"718ケイマン 2012年モデル
                                        (78)",718ケイマン,2012年モデル,GTS (MT) (左ハンドル),ポルシェ
2005,GTS (11),689〜1150万円,978.0,3436cc,2,MR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41626/UCGrade=29344/,"718ケイマン 2012年モデル
                                        (78)",718ケイマン,2012年モデル,GTS,ポルシェ
2006,GTS (左ハンドル) (7),813〜1009万円,978.0,3436cc,2,MR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41626/UCGrade=29345/,"718ケイマン 2012年モデル
                                        (78)",718ケイマン,2012年モデル,GTS (左ハンドル),ポルシェ
2007,GT4 (7),998〜1230万円,1064.0,3799cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41626/UCGrade=31061/,"718ケイマン 2012年モデル
                                        (78)",718ケイマン,2012年モデル,GT4,ポルシェ
2008,GT4 (左ハンドル) (6),1103〜1280万円,1064.0,3799cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=41626/UCGrade=31062/,"718ケイマン 2012年モデル
                                        (78)",718ケイマン,2012年モデル,GT4 (左ハンドル),ポルシェ
2009,ベースグレード (MT) (3),468〜469万円,604.0,2892cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=40745/UCGrade=18298/,"718ケイマン 2005年モデル
                                        (84)",718ケイマン,2005年モデル,ベースグレード (MT),ポルシェ
2010,ベースグレード (MT) (左ハンドル) (8),250〜419万円,604.0,2892cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=40745/UCGrade=22697/,"718ケイマン 2005年モデル
                                        (84)",718ケイマン,2005年モデル,ベースグレード (MT) (左ハンドル),ポルシェ
2011,ベースグレード (17),249〜457万円,651.0,2892cc,2,MR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=40745/UCGrade=18299/,"718ケイマン 2005年モデル
                                        (84)",718ケイマン,2005年モデル,ベースグレード,ポルシェ
2012,ベースグレード (左ハンドル) (14),179〜452万円,651.0,2892cc,2,MR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=40745/UCGrade=22698/,"718ケイマン 2005年モデル
                                        (84)",718ケイマン,2005年モデル,ベースグレード (左ハンドル),ポルシェ
2013,S (MT) (2),378〜428万円,754.0,3436cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=40745/UCGrade=18300/,"718ケイマン 2005年モデル
                                        (84)",718ケイマン,2005年モデル,S (MT),ポルシェ
2014,S (MT) (左ハンドル) (11),350〜598万円,754.0,3436cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=40745/UCGrade=18296/,"718ケイマン 2005年モデル
                                        (84)",718ケイマン,2005年モデル,S (MT) (左ハンドル),ポルシェ
2015,S (10),233〜453万円,801.0,3436cc,2,MR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=40745/UCGrade=18297/,"718ケイマン 2005年モデル
                                        (84)",718ケイマン,2005年モデル,S,ポルシェ
2016,S (左ハンドル) (3),338〜788万円,801.0,3436cc,2,MR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=40745/UCGrade=22696/,"718ケイマン 2005年モデル
                                        (84)",718ケイマン,2005年モデル,S (左ハンドル),ポルシェ
2017,S ブラックエディション (1),503.3万円,818.0,3436cc,−,MR,7速PDK,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=40745/UCGrade=18309/,"718ケイマン 2005年モデル
                                        (84)",718ケイマン,2005年モデル,S ブラックエディション,ポルシェ
2018,S ポルシェデザインエディション1 (1),404.3万円,953.0,3387cc,2,MR,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=40745/UCGrade=18301/,"718ケイマン 2005年モデル
                                        (84)",718ケイマン,2005年モデル,S ポルシェデザインエディション1,ポルシェ
2019,S ポルシェデザインエディション1 (左ハンドル) (1),412.0万円,953.0,3387cc,2,MR,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=30980/Generation=40745/UCGrade=22700/,"718ケイマン 2005年モデル
                                        (84)",718ケイマン,2005年モデル,S ポルシェデザインエディション1 (左ハンドル),ポルシェ
2020,ベースグレード (11),1316〜1623万円,1377.0,3995cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=33368/Generation=42281/UCGrade=49348/,"718ケイマンGT4 2019年モデル
                                        (16)",718ケイマンGT4,2019年モデル,ベースグレード,ポルシェ
2021,ベースグレード PDK (5),2630〜3013万円,1425.0,3995cc,2,MR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=33368/Generation=42281/UCGrade=59981/,"718ケイマンGT4 2019年モデル
                                        (16)",718ケイマンGT4,2019年モデル,ベースグレード PDK,ポルシェ
2022,ベースグレード (25),1248〜1673万円,1356.0,3995cc,2,MR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=33367/Generation=42280/UCGrade=49347/,"718スパイダー 2019年モデル
                                        (65)",718スパイダー,2019年モデル,ベースグレード,ポルシェ
2023,ベースグレード PDK (1),1645万円,1404.0,3995cc,2,MR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=33367/Generation=42280/UCGrade=59985/,"718スパイダー 2019年モデル
                                        (65)",718スパイダー,2019年モデル,ベースグレード PDK,ポルシェ
2024,RS (3),2590〜2952万円,2065.0,3996cc,2,MR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=33367/Generation=42280/UCGrade=62628/,"718スパイダー 2019年モデル
                                        (65)",718スパイダー,2019年モデル,RS,ポルシェ
2025,RS (左ハンドル) (3),2741〜2760万円,2065.0,3996cc,2,MR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=33367/Generation=42280/UCGrade=62629/,"718スパイダー 2019年モデル
                                        (65)",718スパイダー,2019年モデル,RS (左ハンドル),ポルシェ
2026,ベースグレード (6),2581〜2911万円,2832.0,3745cc,4,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31740/Generation=42345/UCGrade=52307/,"911ターボ 2020年モデル
                                        (24)",911ターボ,2020年モデル,ベースグレード,ポルシェ
2027,S (18),2485〜3790万円,3279.0,3745cc,4,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31740/Generation=42345/UCGrade=51353/,"911ターボ 2020年モデル
                                        (24)",911ターボ,2020年モデル,S,ポルシェ
2028,ベースグレード (2),1198〜1775万円,2308.0,3799cc,4,−,7DCT,11.1km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31740/Generation=41679/UCGrade=27192/,"911ターボ 2013年モデル
                                        (13)",911ターボ,2013年モデル,ベースグレード,ポルシェ
2029,ベースグレード (左ハンドル) (1),1300万円,2308.0,3799cc,4,4WD,−,11.1km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31740/Generation=41679/UCGrade=27193/,"911ターボ 2013年モデル
                                        (13)",911ターボ,2013年モデル,ベースグレード (左ハンドル),ポルシェ
2030,S (8),1280〜1757万円,2678.0,3799cc,4,4WD,−,10.8km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31740/Generation=41679/UCGrade=27194/,"911ターボ 2013年モデル
                                        (13)",911ターボ,2013年モデル,S,ポルシェ
2031,S (左ハンドル) (2),1763万円,2678.0,3799cc,4,4WD,−,10.8km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31740/Generation=41679/UCGrade=27195/,"911ターボ 2013年モデル
                                        (13)",911ターボ,2013年モデル,S (左ハンドル),ポルシェ
2032,ターボ 4WD (左ハンドル) (1),1014万円,1994.0,3600cc,4,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31740/Generation=40425/UCGrade=22347/,"911ターボ 2006年モデル
                                        (13)",911ターボ,2006年モデル,ターボ 4WD (左ハンドル),ポルシェ
2033,ターボ 4WD (8),798〜1877万円,2090.0,3799cc,4,4WD,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31740/Generation=40425/UCGrade=16456/,"911ターボ 2006年モデル
                                        (13)",911ターボ,2006年モデル,ターボ 4WD,ポルシェ
2034,ターボ S 4WD (4),1671〜2038万円,2365.0,3799cc,−,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31740/Generation=40425/UCGrade=16466/,"911ターボ 2006年モデル
                                        (13)",911ターボ,2006年モデル,ターボ S 4WD,ポルシェ
2035,ターボ (2),568〜660万円,1848.0,−,−,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31740/Generation=40424/UCGrade=16447/,"911ターボ 1998年モデル
                                        (3)",911ターボ,1998年モデル,ターボ,ポルシェ
2036,ターボ 4WD (左ハンドル) (1),応談,1830.0,3600cc,4,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31740/Generation=40424/UCGrade=16448/,"911ターボ 1998年モデル
                                        (3)",911ターボ,1998年モデル,ターボ 4WD (左ハンドル),ポルシェ
2037,4 (5),2130〜2394万円,1951.0,2981cc,4,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31741/Generation=42354/UCGrade=52003/,"911タルガ 2020年モデル
                                        (20)",911タルガ,2020年モデル,4,ポルシェ
2038,4 (左ハンドル) (1),2728万円,1951.0,2981cc,4,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31741/Generation=42354/UCGrade=52004/,"911タルガ 2020年モデル
                                        (20)",911タルガ,2020年モデル,4 (左ハンドル),ポルシェ
2039,4S ヘリテージデザインエディション (2),3876〜4010万円,2616.0,2981cc,4,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31741/Generation=42354/UCGrade=52115/,"911タルガ 2020年モデル
                                        (20)",911タルガ,2020年モデル,4S ヘリテージデザインエディション,ポルシェ
2040,4S (4),2506〜4159万円,2633.0,2981cc,4,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31741/Generation=42354/UCGrade=52005/,"911タルガ 2020年モデル
                                        (20)",911タルガ,2020年モデル,4S,ポルシェ
2041,4S (左ハンドル) (1),2927万円,2633.0,2981cc,4,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31741/Generation=42354/UCGrade=52006/,"911タルガ 2020年モデル
                                        (20)",911タルガ,2020年モデル,4S (左ハンドル),ポルシェ
2042,4 GTS (4),2980〜3118万円,2747.0,3591cc,4,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31741/Generation=42354/UCGrade=59600/,"911タルガ 2020年モデル
                                        (20)",911タルガ,2020年モデル,4 GTS,ポルシェ
2043,4 GTS (左ハンドル) (3),2790〜3197万円,2747.0,3591cc,4,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31741/Generation=42354/UCGrade=59601/,"911タルガ 2020年モデル
                                        (20)",911タルガ,2020年モデル,4 GTS (左ハンドル),ポルシェ
2044,4 (2),1557〜1620万円,1639.0,2981cc,4,4WD,−,12.1km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31741/Generation=41783/UCGrade=28779/,"911タルガ 2014年モデル
                                        (5)",911タルガ,2014年モデル,4,ポルシェ
2045,4 (左ハンドル) (1),1407万円,1639.0,2981cc,4,4WD,−,12.1km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31741/Generation=41783/UCGrade=28780/,"911タルガ 2014年モデル
                                        (5)",911タルガ,2014年モデル,4 (左ハンドル),ポルシェ
2046,4GTS (2),1978〜2221万円,2193.0,2981cc,4,4WD,−,12.2km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31741/Generation=41783/UCGrade=31530/,"911タルガ 2014年モデル
                                        (5)",911タルガ,2014年モデル,4GTS,ポルシェ
2047,タルガ4 (左ハンドル) (2),723〜748万円,1395.0,3595cc,4,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31741/Generation=40423/UCGrade=22663/,"911タルガ 2004年モデル
                                        (2)",911タルガ,2004年モデル,タルガ4 (左ハンドル),ポルシェ
2048,タルガ (MT) (1),応談,1165.0,−,−,RR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31741/Generation=42094/UCGrade=16438/,"911タルガ 1998年モデル
                                        (1)",911タルガ,1998年モデル,タルガ (MT),ポルシェ
2049,ベースグレード (40),1296〜2686万円,1853.0,2981cc,2,RR,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=42239/UCGrade=49902/,"911カレラ 2019年モデル
                                        (353)",911カレラ,2019年モデル,ベースグレード,ポルシェ
2050,ベースグレード (左ハンドル) (9),2141〜2347万円,1853.0,2981cc,2,RR,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=42239/UCGrade=65375/,"911カレラ 2019年モデル
                                        (353)",911カレラ,2019年モデル,ベースグレード (左ハンドル),ポルシェ
2051,4 (8),1575〜2530万円,1726.0,2981cc,4,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=42239/UCGrade=52737/,"911カレラ 2019年モデル
                                        (353)",911カレラ,2019年モデル,4,ポルシェ
2052,4S (15),1556〜3316万円,2352.0,2981cc,2,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=42239/UCGrade=48401/,"911カレラ 2019年モデル
                                        (353)",911カレラ,2019年モデル,4S,ポルシェ
2053,4 GTS (16),2250〜2830万円,2492.0,3591cc,2,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=42239/UCGrade=55839/,"911カレラ 2019年モデル
                                        (353)",911カレラ,2019年モデル,4 GTS,ポルシェ
2054,4 GTS (左ハンドル) (4),2250〜2850万円,2492.0,3591cc,2,4WD,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=42239/UCGrade=55840/,"911カレラ 2019年モデル
                                        (353)",911カレラ,2019年モデル,4 GTS (左ハンドル),ポルシェ
2055,T (1),2403万円,1757.0,2981cc,2,RR,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=42239/UCGrade=60848/,"911カレラ 2019年モデル
                                        (353)",911カレラ,2019年モデル,T,ポルシェ
2056,T (MT) (11),1864〜2833万円,2006.0,2981cc,2,RR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=42239/UCGrade=60849/,"911カレラ 2019年モデル
                                        (353)",911カレラ,2019年モデル,T (MT),ポルシェ
2057,T (MT) (左ハンドル) (8),1864〜2353万円,2006.0,2981cc,2,RR,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=42239/UCGrade=60851/,"911カレラ 2019年モデル
                                        (353)",911カレラ,2019年モデル,T (MT) (左ハンドル),ポルシェ
2058,S (38),1565〜3548万円,2239.0,2981cc,2,RR,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=42239/UCGrade=48400/,"911カレラ 2019年モデル
                                        (353)",911カレラ,2019年モデル,S,ポルシェ
2059,GTS (MT) (11),2096〜2666万円,2059.0,2981cc,4,RR,7MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=42239/UCGrade=55842/,"911カレラ 2019年モデル
                                        (353)",911カレラ,2019年モデル,GTS (MT),ポルシェ
2060,GTS (MT) (左ハンドル) (6),2096〜2635万円,2059.0,2981cc,4,RR,7MT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=42239/UCGrade=55844/,"911カレラ 2019年モデル
                                        (353)",911カレラ,2019年モデル,GTS (MT) (左ハンドル),ポルシェ
2061,GTS (21),2027〜2663万円,2379.0,3591cc,2,RR,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=42239/UCGrade=55841/,"911カレラ 2019年モデル
                                        (353)",911カレラ,2019年モデル,GTS,ポルシェ
2062,GTS (左ハンドル) (3),2482〜2677万円,2379.0,3591cc,2,RR,8DCT,−,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=42239/UCGrade=55843/,"911カレラ 2019年モデル
                                        (353)",911カレラ,2019年モデル,GTS (左ハンドル),ポルシェ
2063,ベースグレード (MT) (7),943〜1438万円,1244.0,2981cc,4,RR,7MT,11.4km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=41522/UCGrade=24019/,"911カレラ 2011年モデル
                                        (226)",911カレラ,2011年モデル,ベースグレード (MT),ポルシェ
2064,ベースグレード (35),719〜1322万円,1307.0,2981cc,4,RR,−,12.8km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=41522/UCGrade=24021/,"911カレラ 2011年モデル
                                        (226)",911カレラ,2011年モデル,ベースグレード,ポルシェ
2065,ベースグレード (左ハンドル) (16),818〜1248万円,1307.0,2981cc,4,RR,−,12.8km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=41522/UCGrade=24020/,"911カレラ 2011年モデル
                                        (226)",911カレラ,2011年モデル,ベースグレード (左ハンドル),ポルシェ
2066,ブラックエディション (3),993〜1213万円,1316.0,3436cc,4,RR,7DCT,10.0km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=41522/UCGrade=32568/,"911カレラ 2011年モデル
                                        (226)",911カレラ,2011年モデル,ブラックエディション,ポルシェ
2067,4 (4),967〜1120万円,1435.0,2981cc,4,4WD,7DCT,12.2km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=41522/UCGrade=25891/,"911カレラ 2011年モデル
                                        (226)",911カレラ,2011年モデル,4,ポルシェ
2068,4 PDK (1),1120万円,1437.0,2981cc,4,4WD,7DCT,12.2km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=41522/UCGrade=33515/,"911カレラ 2011年モデル
                                        (226)",911カレラ,2011年モデル,4 PDK,ポルシェ
2069,4S (3),1054〜1197万円,1710.0,2981cc,4,4WD,−,12.2km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=41522/UCGrade=25894/,"911カレラ 2011年モデル
                                        (226)",911カレラ,2011年モデル,4S,ポルシェ
2070,4S PDK (4),1276〜1847万円,1712.0,2981cc,4,4WD,7DCT,12.2km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=41522/UCGrade=33521/,"911カレラ 2011年モデル
                                        (226)",911カレラ,2011年モデル,4S PDK,ポルシェ
2071,4 GTS (4),1248〜1895万円,1922.0,2981cc,4,4WD,−,12.4km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=41522/UCGrade=30608/,"911カレラ 2011年モデル
                                        (226)",911カレラ,2011年モデル,4 GTS,ポルシェ
2072,4 GTS (左ハンドル) (6),1508〜1879万円,1922.0,2981cc,4,4WD,−,12.4km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=41522/UCGrade=30609/,"911カレラ 2011年モデル
                                        (226)",911カレラ,2011年モデル,4 GTS (左ハンドル),ポルシェ
2073,S (MT) (左ハンドル) (2),1398〜1547万円,1519.0,2981cc,4,RR,7MT,11.2km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=41522/UCGrade=24022/,"911カレラ 2011年モデル
                                        (226)",911カレラ,2011年モデル,S (MT) (左ハンドル),ポルシェ
2074,S (MT) (1),1492万円,1519.0,2981cc,4,RR,7MT,11.2km/L,https://kakaku.com/kuruma/used/spec/Maker=24/Model=31745/Generation=41522/UCGrade=34313/,"911カレラ 2011年モデル
                                        (226)",911カレラ,2011年モデル,S (MT),ポルシェ
